id;field_name
0;СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО)
1;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ
2;ПРОМЫШЛЕННОСТЬ
3;ЭНЕРГЕТИКА
4;ЖКХ
5;СТРОИТЕЛЬСТВО
6;ОБРАЗОВАНИЕ
7;ЗДРАВООХРАНЕНИЕ
8;ФИНАНСОВЫЙ СЕКТОР
9;РАСПОРЯЖЕНИЕ ИМУЩЕСТВОМ
10;ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ
11;КОНТЕНТ И СМИ
12;КУЛЬТУРА И ИСКУССТВО
13;ТОРГОВЛЯ
14;СПОРТ, ТУРИЗМ И СФЕРА ОБСЛУЖИВАНИЯ
15;ТРАНСПОРТ, ХРАНЕНИЕ И ЛОГИСТИКА
16;БЕЗОПАСНОСТЬ И КОНТРОЛЬНО-НАДЗОРНАЯ ДЕЯТЕЛЬНОСТЬ
17;ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ
18;ПРОФЕССИОНАЛЬНАЯ ДЕЯТЕЛЬНОСТЬ ПРОЧАЯ
19;ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ
