id;sub_field_name
0;Животноводство
1;Растениеводство
2;Рыболовство и рыбоводство
3;Лесоводство и лесозаготовка
4;Добыча угля
5;Добыча нефти и природного газа
6;Добыча металлических руд
7;Добыча прочих полезных ископаемых
8;Геологоразведочные работы
9;Авиакосмическая промышленность
10;Судостроительная промышленность
11;Железнодорожная промышленность
12;Автомобильная промышленность
13;Производство кокса и нефтепродуктов
14;"Производство, хранение и переработка ядерного топлива"
15;Производство и распределение газообразного топлива
16;Металлургия, металлопродукция, производство готовых металлических изделий
17;Машиностроение
18;Робототехника
19;Оборонная промышленность
20;Производство прочей неметаллической минеральной продукции
21;"Деревообработка, производство бумаги"
22;"Производство драгметаллов, ювелирных изделий"
23;Производство электронного и электрического оборудования
24;Системная интеграция и заказная разработка
25;Производство новых материалов
26;Пищевая промышленность
27;Химическая промышленность
28;Производство парфюмерии и косметики
29;Лёгкая промышленность. Товары народного потребления.
30;Теплоэнергетика и ТЭЦ
31;Гидроэнергетика
32;Атомная энергетика
33;Альтернативная энергетика
34;Производство электрической энергии через сжигание отходов
35;"Передача, распределение и торговля электроэнергией"
36;Накопители электрической и тепловой энергии
37;"Холодное водоснабжение, водоотведение и канализация"
38;Инженерно-техническое обслуживание и эксплуатация зданий
39;Продажа топлива населению
40;"Сбор, утилизация и переработка отходов"
41;Строительство зданий
42;Строительство автомобильных и железных дорог
43;Строительство инженерных коммуникаций и сооружений
44;Работы строительные специализированные
45;"Деятельность заказчика-застройщика, генерального подрядчика"
46;Дошкольное образование
47;"Общее образование, кроме дошкольного"
48;Среднее профессиональное образование
49;Высшее и послевузовское образование
50;Дополнительное образование детей
51;"Дополнительное образование взрослых, в том числе программы профессионального обучения"
52;Аттестация научных кадров и организация научных конференций
53;Производство лекарственных средств
54;Производство медицинских изделий для диагностики in vitro
55;Производство медицинских изделий для диагностики in vivo
56;Производство медицинских инструментов и оборудования для терапии и реабилитации
57;Производство биомедицинских клеточных продуктов
58;Разработка ПО для использования в медицине
59;Производство биологически активных добавок
60;Государственная финансово-кредитная политика
61;Банковская деятельность
62;Финансово-кредитное посредничество
63;Предоставление и организация займов
64;Инвестиционная деятельность
65;Факторинговая деятельность
66;Управление активами
67;"Страхование, перестрахование"
68;Пенсионное обеспечение
69;Лизинг
70;Деятельность по финансовой взаимопомощи
71;Покупка и продажа недвижимости
72;Аренда недвижимости
73;Агентские услуги по распоряжению имуществом
74;Аренда автотранспортных средств
75;Аренда машин и оборудования
76;Проводная связь
77;Беспроводная связь
78;Спутниковая связь
79;Прочая связь и телеметрия
80;Специализированные информационные системы
81;Техническое создание и предоставление доступа к базам данных, в том числе распределенным
82;Рекомендательные системы, персональные помощники и агрегаторы
83;Разработка аппаратно-программных комплексов
84;Обеспечение информационной безопасности
85;Деятельность по созданию новых информационных технологий
86;"Производство кинофильмов, видеофильмов и телевизионных программ"
87;Деятельность в области звукозаписи и издания музыкальных произведений
88;Издательская и полиграфическая деятельность
89;Теле- и радиовещание
90;Разработка и развитие компьютерных и мобильных игр
91;Создание социальных сетей
92;Деятельность новостных агентств, сетевых изданий и медиа-сайтов
93;Предоставление услуг в сфере культурно-развлекательного досуга
94;Деятельность библиотек, архивов, музеев и прочих объектов культуры
95;Торговля оптовая
96;Торговля розничная в торговых объектах
97;Торговля розничная по почте или Интернет
98;Деятельность в области спорта
99;Туризм
100;Деятельность в области отдыха и развлечений
101;Предоставление временного проживания
102;Стирка и химчистка
103;Парикмахерские и салоны красоты
104;Авиаперевозки
105;Инфраструктура для воздушных перевозок
106;Перевозки автотранспортом
107;Инфраструктура для автотранспорта
108;Перевозки железнодорожным транспортом
109;Инфраструктура для железнодорожного транспорта
110;Перевозки водным транспортом
111;Инфраструктура для водного транспорта
112;Космические перевозки
113;Инфраструктура для космических перевозок
114;Складирование и хранение, кроме ядерных материалов, радиоактивных веществ, зерна
115;Транспортировка по трубопроводам
116;Почтовая связь
117;Курьерская доставка
118;Перемещение и экспедирование грузов, другие логистические услуги
119;Охрана труда
120;Системы охраны и обеспечения безопасности
121;Проведение расследований и экспертиза
122;Деятельность поисковых и аварийно-спасательных служб
123;Обеспечение безопасности в чрезвычайных ситуациях
124;Борьба с пожарами
125;Ликвидация последствий загрязнений
126;Консультации в области экологии
127;Безопасность дорожного движения
128;Деятельность, связанная с обеспечением военной безопасности
129;Деятельность архитектурная
130;Инженерно-техническое проектирование
131;Инженерные изыскания и картография
132;Гидрометеорология
133;Прототипирование
134;Техническое регулирование, стандартизация, метрология, аккредитация, каталогизация продукции
135;Оценка соответствия и сертификация продукции
136;Заказные исследования и разработки, государственное управление исследованиями
137;Юриспруденция
138;Реклама, маркетинг, выставочная деятельность
139;Дизайн и фотография
140;Аудит, бухгалтерский учет, налоговое консультирование
141;Трудоустройство, подбор и управление персоналом
142;Деятельность ветеринарная
143;Прочие профессиональные услуги
144;Деятельность домашних хозяйств с наемными работниками
145;Предоставление прочих персональных услуг, не включенных в другие группировки
146;Деятельность недифференцированная частных домашних хозяйств по производству товаров и предоставлению услуг для собственного потребления
147;Прочие услуги
